id,ru,en,info
2675,мстить,to take revenge,"(мщу, мстишь) нсв II — отомсти́ть (отомщу́, отомсти́шь) св II"
2676,му́дрый,wise; wisely,"(-ая, -ое, -ые; му́дро)"
2677,муж,husband,мн.ч. мужья́
2678,му́жественный,courageous; courageously,"(-ая, -ое, -ые);  му́жественно"
2679,му́жество,courage,только ед.ч.
2680,мужско́й,"masculine, male, man’s","(-а́я, -о́е, и́е)"
2681,мужчи́на,man,м.р.
2602,музе́й,museum,
2603,му́зыка,music,только ед.ч.
2604,музыка́льный,musical,"(-ая, -ое, -ые)"
2605,музыка́нт,musician,
2606,мука́,"flour, meal",только ед.ч.
2607,мультфи́льм,cartoon,
2608,му́сор,"garbage, rubbish",только ед.ч.
2609,мусоропрово́д,refuse chute,
2610,мусульма́нин,Muslim,ж.р. мусульма́нка; мн.ч. мусульма́не
2611,мусульма́нство,Islam,только ед.ч.
2612,му́ха,fly,
2613,мча́ться,"to rush, to race","(мчусь, мчи́шься) нсв II"
2614,мы,we,
2615,мы́ло,soap,только ед.ч.
2616,мы́льница,soap dish,
2617,мысль,thought,ж.р.
2618,мыть,to wash,"(мо́ю, мо́ешь) нсв I — вы́мыть (вы́мою, вы́моешь) св; помы́ть (помо́ю, помо́ешь) св I"
2619,мы́ться,to wash oneself,"(мо́юсь, мо́ешься) нсв I — вы́мыться (вы́моюсь,
вы́моешься) св I; помы́ться (помо́юсь, помо́ешься) св I"
2620,мышь,mouse,ж.р.
2621,мю́зикл,musical,
2622,мя́гкий,"soft; softly; softer 
1) soft sofa 
2) soft bread 
3) soft character","(-ая, -ое, -ие); мя́гко; сравн.ст. мя́гче 
1) мя́гкий дива́н 
2) мя́гкий хлеб 
3) мя́гкий хара́ктер"
2623,мя́со,meat,только ед.ч.
2624,мяу́кать,"to mew, to miaow",нсв I
2625,мяч,ball,
2626,на,"on, at, by, to, for
1) to be at the exhibition
2) o fly by plane
3) last week
4) to go to the exhibition
5) to look at the girl, at the river
6) to come for a week","1) п.п. где? — быть на вы́ставке;
2) п.п. на чём? — лете́ть на самолёте;
3) п.п. когда? — на про́шлой неде́ле
4) в.п. куда? — идти́ на вы́ставку;
5) в.п. на кого? на что? — смотре́ть на де́вушку, на ре́чку
6) в.п. на сколько времени? — прие́хать на неде́лю"
2627,на́бережная,embankment,сущ.
2628,набира́ть,"to gather, to gain, to dial
1) to dial a phone number
2) to gain a lot of marks","нсв I — чего? набра́ть (наберу́, наберёшь) св I что?
1) набира́ть но́мер телефо́на, код
2) набра́ть мно́го ба́ллов"
2629,наблюда́тельный,observant — observant person,"(-ая, -ое, -ые) — наблюда́тельный челове́к"
2630,наблюда́ть,to observe,нсв I
2631,наве́рное,probably,наве́рно
2632,наве́рх,upward,
2633,наверху́,above,
2634,навеща́ть,to visit,"нсв I — навести́ть (навещу́, навести́шь) св II"
2635,наводне́ние,flood,
2636,на́волочка,pillowcase,р.п. мн.ч. на́волочек
2637,навсегда́,forever,
2638,навстре́чу,toward,д.п.
2639,наговори́ться,to talk one’s fill,св II
2640,награ́да,reward,
2641,награжда́ть,"to award, to reward","нсв I — награди́ть (награжу́, награди́шь) св II"
2482,нагуля́ться,to have had a long walk,только св I
2562,нагуля́ться,to have had a long walk,только св I
2483,над,"over, above","на́до, т.п."
2563,над,"over, above","на́до, т.п."
2484,надева́ть,"to wear, to put on","нсв I — наде́ть (наде́ну, наде́нешь) св I"
2564,надева́ть,"to wear, to put on","нсв I — наде́ть (наде́ну, наде́нешь) св I"
2485,наде́жда,hope,
2565,наде́жда,hope,
2486,на́до,"to ought, to need",инф.
2566,на́до,"to ought, to need",инф.
2487,надоеда́ть,"to get on the nerves, to bore, to pester","нсв I — надое́сть (надое́м, надое́шь) св I"
2567,надоеда́ть,"to get on the nerves, to bore, to pester","нсв I — надое́сть (надое́м, надое́шь) св I"
2489,надо́лго,for a long time,
2569,надо́лго,for a long time,
2488,на́дпись,inscription,ж.р.
2568,на́дпись,inscription,ж.р.
2490,надстра́ивать,"to build on, to raise the height",нсв I — надстро́ить св II
2570,надстра́ивать,"to build on, to raise the height",нсв I — надстро́ить св II
2491,наедине́,"privately, in private",
2571,наедине́,"privately, in private",
2492,нае́сться,to eat one’s fill,"(нае́мся, нае́шься) св I"
2572,нае́сться,to eat one’s fill,"(нае́мся, нае́шься) св I"
2493,нажима́ть,to press,"нсв I — нажа́ть (нажму́, нажмёшь) св I"
2573,нажима́ть,to press,"нсв I — нажа́ть (нажму́, нажмёшь) св I"
2494,наза́д,backwards,
2574,наза́д,backwards,
2495,назва́ние,"name, title",
2575,назва́ние,"name, title",
2496,назнача́ть,"to fix, to appoint, to prescribe 
1) to appoint meeting at 3 o’clock 
2) to appoint Petrov director 
3) to prescribe medicine for the patient","нсв II — назна́чить св II 
1) что? — назна́чить встре́чу на 3 часа́
2) кого? кем? — назна́чить Петро́ва дире́ктором
3) что? кому? — назна́чить лека́рство больно́му"
2576,назнача́ть,"to fix, to appoint, to prescribe 
1) to appoint meeting at 3 o’clock 
2) to appoint Petrov director 
3) to prescribe medicine for the patient","нсв II — назна́чить св II 
1) что? — назна́чить встре́чу на 3 часа́
2) кого? кем? — назна́чить Петро́ва дире́ктором
3) что? кому? — назна́чить лека́рство больно́му"
2497,называ́ть,"to name, to call
1) The child was named Sergey.
2) Petersburg is called the north capital.","нсв I — назва́ть (назову́, назовёшь) св I
1) кого? как? — Ребёнка назва́ли Серге́ем.
2) кого? кем? / что? чем? — Петербу́рг называ́ют
се́верной столи́цей."
2577,называ́ть,"to name, to call
1) The child was named Sergey.
2) Petersburg is called the north capital.","нсв I — назва́ть (назову́, назовёшь) св I
1) кого? как? — Ребёнка назва́ли Серге́ем.
2) кого? кем? / что? чем? — Петербу́рг называ́ют
се́верной столи́цей."
2498,называ́ться,to be called,нсв I
2578,называ́ться,to be called,нсв I
2499,наибо́лее,most,
2579,наибо́лее,most,
2500,наи́вный,naive; naively,"(-ая, -ое, -ые); наи́вно"
2580,наи́вный,naive; naively,"(-ая, -ое, -ые); наи́вно"
2501,наизу́сть,by heart,
2581,наизу́сть,by heart,
2502,наиме́нее,least,
2582,наиме́нее,least,
2503,наказа́ние,punishment,
2583,наказа́ние,punishment,
2504,нака́зывать,to punish,"нсв I — наказа́ть (накажу́, нака́жешь) св I"
2584,нака́зывать,to punish,"нсв I — наказа́ть (накажу́, нака́жешь) св I"
2505,накану́не,"the day before, on the eve",р.п.
2585,накану́не,"the day before, on the eve",р.п.
2506,накле́ивать,to stick on,нсв I — накле́ить св II
2586,накле́ивать,to stick on,нсв I — накле́ить св II
2507,наклоня́ться,"to bend, to stoop",нсв I — наклони́ться св II
2587,наклоня́ться,"to bend, to stoop",нсв I — наклони́ться св II
2508,наконе́ц,at last,
2588,наконе́ц,at last,
2509,накупи́ть,to buy up,"(накуплю́, наку́пишь) св II"
2589,накупи́ть,to buy up,"(накуплю́, наку́пишь) св II"
2510,нале́во,to (on) the left,
2590,нале́во,to (on) the left,
2511,налива́ть,"to pour, to fill","нсв I — нали́ть (налью́, нальёшь) св I"
2591,налива́ть,"to pour, to fill","нсв I — нали́ть (налью́, нальёшь) св I"
2512,нали́чные,cash,мн.ч. — де́ньги
2592,нали́чные,cash,мн.ч. — де́ньги
2513,нало́г,tax,
2593,нало́г,tax,
2514,намека́ть,to hint,нсв I — намекну́ть св I
2594,намека́ть,to hint,нсв I — намекну́ть св I
2515,наме́рен,to intend,"(-а, -о, -ы) инф."
2595,наме́рен,to intend,"(-а, -о, -ы) инф."
2516,наме́рение,"intention, purpose",
2596,наме́рение,"intention, purpose",
2517,намно́го,"much, by far",
2597,намно́го,"much, by far",
2518,намочи́ть,"to wet, to moisten",св II
2598,намочи́ть,"to wet, to moisten",св II
2519,нанима́ть,"to hire, to rent, to engage","нсв I — наня́ть (найму́, наймёшь) св I"
2599,нанима́ть,"to hire, to rent, to engage","нсв I — наня́ть (найму́, наймёшь) св I"
2520,наоборо́т,vice versa,
2600,наоборо́т,vice versa,
2521,напада́ть,"to hire, to rent, to engage to attack","нсв I — напа́сть (нападу́, нападёшь; прош.вр. напа́л, напа́ла, напа́ли) св I"
2601,напада́ть,"to hire, to rent, to engage to attack","нсв I — напа́сть (нападу́, нападёшь; прош.вр. напа́л, напа́ла, напа́ли) св I"
2442,нау́шники,headphones,только мн.ч.
2443,находи́ть,"to find 
1) to find a lost thing 
2) to find right decision","(нахожу́, нахо́дишь) нсв II — найти́ (найду́, найдёшь; прош.вр. нашёл, нашла́, нашли́) св I 
1) найти́ поте́рянную вещь
2) найти́ ве́рное реше́ние"
2444,находи́ться,to be (situated),нсв II
2445,нахо́дчивый,"resourceful, quick-witted","(-ая, -ое, -ые)"
2446,национали́зм,nationalism,только ед.ч.
2447,национали́ст,nationalist,
2448,националисти́ческий,nationalistic,"(-ая, -ое, -ие)"
2449,национа́льность,nationality,ж.р.
2450,национа́льный,national,"(-ая, -ое, -ые)"
2451,на́ция,nation,
2452,нача́ло,beginning,
2453,нача́льник,"head, chief, boss",
2454,начина́ть,to begin,"нсв I — нача́ть (начну́, начнёшь) св I + инф. нсв"
2455,начина́ться,"to start, to begin",нсв I — нача́ться (1 и 2 л. не употр.; начнётся) св I
2456,наш,our,"(-а, -е, -и)"
2457,не,"not, no",
2423,"не то́лько..., но и...",not only… but also…,
2458,не́бо,sky,(мн.ч. небеса́)
2459,неве́ста,bride,
2460,невозмо́жно,impossible,
2461,не́где,(there is) nowhere,инф.
2462,неда́вно,not long ago,
2463,недалеко́,not far,
2464,неде́ля,week,
2466,недоде́лывать,to leave unfinished,нсв I — недоде́лать св I
2467,недоста́ток,"lack, shortage, disadvantage, defect — defects in the job",р.п. ед.ч. недоста́тка; мн.ч. недоста́тки — недоста́тки в рабо́те
2465,не́жный,"soft, tender, delicate; tenderly","(-ая, -ое, -ые); не́жно"
2468,незави́симость,independence,"ж.р., только ед.ч."
2469,не́когда,(there is) no time,
2470,не́который,some,
2471,не́куда,nowhere,инф.
2472,нельзя́,"one cannot, it is impossible",инф.
2473,неме́дленно,immediately,
2474,не́мец,German,мн.ч. не́мцы; не́мка; р.п. мн.ч. не́мок
2475,неме́цкий,German,"(-ая, -ое, -ие)"
2476,неме́цко-ру́сский,German-Russian,"(-ая, -ое, -ие)"
2477,немно́го,"a little, a few",
2478,немо́й,"dumb man, mute","(-а́я, -о́е, -ы́е) сущ."
2479,ненави́деть,to hate,"(ненави́жу, ненави́дишь) только нсв II"
2480,не́нависть,hatred,ж.р. только ед.ч.
2481,необходи́мо,it is necessary,инф.
2402,необходи́мость,necessity,ж.р. только ед.ч.
2403,необходи́мый,necessary; necessarily,"(-ая, -ое, -ые); необходи́мо"
2404,необыкнове́нный,unusual; unusually,"(-ая, -ое, -ые); необыкнове́нно"
2405,неожи́данный,unexpected; unexpectedly,"(-ая, -ое, -ые); неожи́данно"
2406,неопредёленный,indefinite,"(-ая, -ое, -ые)"
2407,неповтори́мый,unique,"(-ая, -ое, -ые)"
2408,неподви́жный,"motionless, immobile; motionless(ly)","(-ая, -ое, -ые); неподви́жно"
2409,непра́вда,"untruth, lie",только ед.ч.
2410,непреры́вный,continuous; continuously,"(-ая, -ое, -ые); непреры́вно"
2411,неприя́тность,trouble,ж.р.
2412,неприя́тный,"unpleasant, disagreeable; unpleasantly","(-ая, -ое, -ые); неприя́тно"
2413,не́рвничать,to be/become nervous,нсв I
2414,не́рвный,nervous; nervously,"(-ая, -ое, -ые); не́рвно"
2415,не́сколько,"some, several",
2416,несмотря́,in spite of,на + в.п.
2417,несправедли́вость,unjustice,ж.р. только ед.ч.
2418,несправедли́вый,"unjust, incorrect; unjustly","(-ая, -ое, -ые); несправедли́во"
2419,нести́,"to carry, to incur 
1) to carry products home 
2) to incur responsibility","(несу́, несёшь; прош.вр. нёс, несла́, несли́) только нсв I 
1) нести́ проду́кты домо́й
2) нести́ отве́тственность"
2420,несча́стный,miserable,"(-ая, -ое, -ые)"
2421,несча́стье,misfortune,
2422,нет,"no 
1) No, I don’t know.
2) I don’t have a brother.
3) He is not at home.","1) Нет, я не зна́ю.
2) У меня́ нет бра́та.
3) Его́ нет до́ма."
2424,неуда́чный,"unsuccessful, bad; unsuccessfully","(-ая, -ое, -ые); неуда́чно"
2425,неудо́бный,"uncomfortable, inconvenient; uncomfortably","(-ая, -ое, -ые); неудо́бно"
2426,неудовлетвори́тельно,"unsatisfactorily, insufficiently",
2427,неуже́ли,really,
2428,нефть,"oil, petroleum","ж.р., только ед.ч."
2429,неча́янно,by accident,
2430,не́чего,there is nothing — I have nothing to do.,инф. — Мне не́чего де́лать.
2431,нечётный,odd (of numbers),"(-ая, -ое, -ые)"
2432,не́что,something,
2433,ни,"neither, not — None of students came.",— Ни оди́н студе́нт не пришёл.
2434,нигде́,nowhere,
2435,ни́жний,lower,"(-яя, -ее, -ие)"
2436,ни́зкий,"low, deep (voice); low; lower, deeper","(-ая, -ое, -ие); ни́зко; сравн.ст. ни́же"
2437,ника́к,"by no means, in no way",
2438,никако́й,"none, not any","(-а́я, -о́е, -и́е)"
2439,никогда́,never,
2440,никто́,nobody,
2441,никуда́,nowhere,
2362,ниотку́да,from nowhere,
2363,ниско́лько,"by no means, not at all, not a bit",
2364,ни́тка,"thread, string",р.п. мн.ч. ни́ток
2365,ниче́го,nothing,"р.п., им.п. ничто́"
2366,ниче́й,nobody’s,
2367,ничто́,nothing,
2368,ничу́ть,not a bit — not a bit tired,(ничу́ть не уста́л)
2369,ничья́,nobody’s,сущ.
2370,нищета́,poverty,только ед.ч.
2371,ни́щий,destitute,"(-ая, -ее, -ие)"
2372,ни́щий,beggar,"(-ая, ие) сущ."
2373,но,but,
2374,нови́нка,novelty,р.п. мн.ч. нови́нок
2375,нового́дний,New Year’s,"(-яя, -ее, -ие)"
2376,но́вость,news,ж.р.
2377,но́вый,new,"(-ая, -ое, -ые)"
2378,нога́,"leg, foot",
2379,но́готь,"(finger-, toe-) nail",р.п. ед.ч. но́гтя; мн.ч. но́гти
2380,нож,knife,но́жик
2381,но́жка,"leg — table leg, chair leg","р.п. мн.ч. но́жек — но́жка стола́, сту́ла"
2382,но́жницы,scissors,только мн.ч.
2383,ноль,zero,
2384,но́мер,"number, room 
1) home number 
2) hotel room","1) но́мер до́ма
2) но́мер в гости́нице"
2385,номеро́к,(garderobe) ticket,р.п. номерка́; мн.ч. номерки́
2386,норма́льный,normal; normally,"(-ая, -ое, -ые); норма́льно"
2387,нос,nose,
2388,носи́льщик,porter,
2389,носи́ть,"to carry, to wear 
1) to carry suitcase 
2) to wear glasses, watches 
3) to wear light suites","1) носи́ть портфе́ль
2) носи́ть очки́, часы́
3) носи́ть све́тлые костю́мы"
2390,носки́,socks; sock,"мн.ч.; ед.ч. носо́к, р.п. ед.ч. носка́"
2391,нота́риус,notary,
2392,ночева́ть,to spend the night,"(ночу́ю, ночу́ешь) нсв I"
2393,ночно́й,"night, nightly","(-ая, -ое, -ые)"
2394,ночь,night,ж.р.
2395,но́чью,at night,
2396,ноя́брь,November,
2397,нра́виться,"to please, to like","(нра́влюсь, нра́вишься) нсв II — понра́виться (понра́влюсь, понра́вишься) св II  + инф."
2398,нра́вственный,moral; morally,"(-ая, -ое, -ые); нра́вственно"
2399,ну,"now, well, why",
2400,нужда́ться,"to need, to be in want 
1) The family is in want.
2) to need help","нсв I
1) семья́ нужда́ется
2) в чём? — нужда́ться в по́мощи"
2401,ну́жен,it is necessary,"нужна́, ну́жно, нужны́"
2282,ну́жно,it is necessary,инф.
2322,ну́жно,it is necessary,инф.
2283,ну́жный,necessary,"(-ая, -ое, -ые)"
2323,ну́жный,necessary,"(-ая, -ое, -ые)"
2284,нулево́й,zero,"(-а́я, -о́е, -ы́е)"
2324,нулево́й,zero,"(-а́я, -о́е, -ы́е)"
2285,ны́нешний,present,"(-яя, -ее, -ие)"
2325,ны́нешний,present,"(-яя, -ее, -ие)"
2286,ныря́ть,to dive,нсв I — нырну́ть св I
2326,ныря́ть,to dive,нсв I — нырну́ть св I
2287,ню́хать,"to smell, to sniff",нсв I — поню́хать св I
2327,ню́хать,"to smell, to sniff",нсв I — поню́хать св I
2288,ня́ня,"nanny, nurse",
2328,ня́ня,"nanny, nurse",
2289,о,"about, against",(об / о́бо) + п.п
2329,о,"about, against",(об / о́бо) + п.п
2290,о́ба,both,
2330,о́ба,both,
2291,обанкро́титься,to go bankrupt,"(обанкро́чусь, обанкро́тишься) св II"
2331,обанкро́титься,to go bankrupt,"(обанкро́чусь, обанкро́тишься) св II"
2292,обая́тельный,"fascinating, charming","(-ая, -ое, -ые)"
2332,обая́тельный,"fascinating, charming","(-ая, -ое, -ые)"
2293,обвине́ние,"accusation, prosecution",
2333,обвине́ние,"accusation, prosecution",
2294,обвиня́ть,"to accuse, to prosecute",нсв I — обвини́ть св II
2334,обвиня́ть,"to accuse, to prosecute",нсв I — обвини́ть св II
2295,обгоня́ть,"to overtake, to outstrip",нсв I — обогна́ть св II
2335,обгоня́ть,"to overtake, to outstrip",нсв I — обогна́ть св II
2296,обду́мывать,"to consider, to think over",нсв I — обду́мать св I
2336,обду́мывать,"to consider, to think over",нсв I — обду́мать св I
2297,обе́д,dinner,
2337,обе́д,dinner,
2298,обе́дать,"to diner, to have lunch",нсв I — пообе́дать св I
2338,обе́дать,"to diner, to have lunch",нсв I — пообе́дать св I
2299,обезья́на,monkey,
2339,обезья́на,monkey,
2300,обеспе́ченный,"well-to-do, provided","(-ая, -ое, -ые)"
2340,обеспе́ченный,"well-to-do, provided","(-ая, -ое, -ые)"
2301,обеспе́чивать,"to provide, to guarantee",нсв I — обеспе́чить св II
2341,обеспе́чивать,"to provide, to guarantee",нсв I — обеспе́чить св II
2302,обеща́ние,promise,
2342,обеща́ние,promise,
2303,обеща́ть,to promise,нсв I — пообеща́ть св I  + инф.
2343,обеща́ть,to promise,нсв I — пообеща́ть св I  + инф.
2304,обжига́ться,to burn on/with,"нсв I — обже́чься (обожгу́сь, обожжёшься) св I"
2344,обжига́ться,to burn on/with,"нсв I — обже́чься (обожгу́сь, обожжёшься) св I"
2305,обзо́р,review,
2345,обзо́р,review,
2306,оби́да,"insult, offence",
2346,оби́да,"insult, offence",
2307,оби́дный,"offensive; offensively, hurtfully","(-ая, -ое, -ые; оби́дно)"
2347,оби́дный,"offensive; offensively, hurtfully","(-ая, -ое, -ые; оби́дно)"
2308,оби́дчивый,"touchy, sensitive","(-ая, -ое, -ые)"
2348,оби́дчивый,"touchy, sensitive","(-ая, -ое, -ые)"
2309,обижа́ть,"to offend, to treat badly","нсв I — оби́деть (оби́жу, оби́дишь) св II"
2349,обижа́ть,"to offend, to treat badly","нсв I — оби́деть (оби́жу, оби́дишь) св II"
2310,обижа́ться,to take offence,"нсв I — оби́деться (оби́жусь, оби́дишься) св II"
2350,обижа́ться,to take offence,"нсв I — оби́деться (оби́жусь, оби́дишься) св II"
2311,облада́ть,"to possess, to have",нсв I
2351,облада́ть,"to possess, to have",нсв I
2312,о́блако,cloud,
2352,о́блако,cloud,
2313,областно́й,regional,"(-ая, -ое, -ые)"
2353,областно́й,regional,"(-ая, -ое, -ые)"
2314,о́бласть,"province, region, field",ж.р.
2354,о́бласть,"province, region, field",ж.р.
2315,о́блачный,cloudy; it is cloudy,"(-ая, -ое, -ые); о́блачно"
2355,о́блачный,cloudy; it is cloudy,"(-ая, -ое, -ые); о́блачно"
2316,облегча́ть,"to lighten, to simplify, to make easier",нсв I — облегчи́ть св II
2356,облегча́ть,"to lighten, to simplify, to make easier",нсв I — облегчи́ть св II
2317,облива́ть,"to pour over, to spill over","нсв I — обли́ть (оболью́, обольёшь) св I"
2357,облива́ть,"to pour over, to spill over","нсв I — обли́ть (оболью́, обольёшь) св I"
2318,обло́жка,cover,р.п. мн.ч. обло́жек
2358,обло́жка,cover,р.п. мн.ч. обло́жек
2319,обма́н,deception,
2359,обма́н,deception,
2320,обма́нывать,to deceive,нсв I — обману́ть св I
2360,обма́нывать,to deceive,нсв I — обману́ть св I
2321,обме́н,exchange,
2361,обме́н,exchange,
2242,объявле́ние,"declaration, advertisement",
2243,объявля́ть,to declare,"нсв I — объяви́ть (объявлю́, объя́вишь) св II"
2244,объясне́ние,explanation,
2245,объясня́ть,to explain,нсв I — объясни́ть св II
2246,обыкнове́нный,"usual, ordinary","(-ая, -ое, -ые)"
2247,обы́чай,"custom, usage",
2248,обы́чно,usually,
2249,обы́чный,usual,"(-ая, -ое, -ые)"
2250,обя́зан,must,"(-а, -о, -ы) + инф."
2251,обя́занность,"duty, responsibility",ж.р.
2252,обяза́тельно,it is obligatory,
2253,обяза́тельно,"without fail, certainly",
2254,о́вощи,vegetables,только мн.ч.
2255,овощно́й,vegetable,"(-а́я, - о́е, -ы́е)"
2256,овца́,sheep,р.п. мн.ч. ове́ц
2257,оглавле́ние,table of contents,
2258,огля́дываться,to look back,нсв I — огляну́ться св I
2259,ого́нь,"fire, light
1) fire of a candle
2) city lights","р.п. огня́
 1) только ед.ч. — ого́нь свечи́
 2) огни́ го́рода"
2260,огоро́д,kitchen/vegetable garden,
2261,ограниче́ние,"limitation, restriction",
2262,ограни́чивать,"to limit, to restrict",нсв I — ограни́чить св II
2263,ограни́чиваться,"to confine oneself, to be limited",нсв I — ограни́читься св II
2264,огро́мный,enormous,"(-ая, -ое, -ые)"
2265,огуре́ц,cucumber,р.п. ед.ч. огурца́
2266,одева́ть,"to dress, to clothe","нсв I — оде́ть (оде́ну, оде́нешь) св I"
2267,одева́ться,"to dress (oneself), to put on","нсв I — оде́ться (оде́нусь, оде́нешься) св I"
2268,оде́жда,clothes,только ед.ч.
2269,одеколо́н,eau de cologne,
2270,оде́рживать,"to gain, to win — to gain victory",нсв I — одержа́ть св II — одержа́ть побе́ду
2271,одея́ло,blanket,
2272,оди́н,"one, single, alone","(одна́, одно́, одни́)"
2273,оди́н,"one, single, alone","(одна́, одно́)"
2274,одина́ковый,"identical; identically, equally","(-ая, -ое, -ые); одина́ково"
2275,оди́ннадцать,eleven,
2276,одино́кий,"lonely, single","(-ая, -ое, -ие)"
2277,одино́чество,"loneliness, solitude",только ед.ч.
2278,одна́жды,once,
2279,одна́ко,however,
2281,одновреме́нно,at the same time,
2280,одновре́менно,simultaneously,
2202,одноме́стный,"single-seater, single, one-place","(-ая, -ое, -ые)"
2203,однообра́зный,monotonous; monotonously,"(-ая, -ое, -ые); однообра́зно"
2204,однора́зовый,"disposable, temporary","(-ая, -ое, -ые)"
2205,одобря́ть,to approve,нсв I — одо́брить св II
2206,одува́нчик,dandelion,
2207,ожида́ние,"waiting, expectation",
2208,ожо́г,burn,
2209,озагла́вить,"to entitle, to head",св II
2210,о́зеро,lake,мн.ч. озёра
2211,ока́зываться,to find oneself,"1 нсв I — оказа́ться (окажу́сь, ока́жешься) cв I"
2212,ока́зываться,to turn out to be,"2 нсв I — оказа́ться (окажу́сь, ока́жешься) св I"
2213,ока́нчивать,to finish,нсв I — око́нчить св II
2214,ока́нчиваться,to end up,нсв I — око́нчиться св II
2215,океа́н,ocean,
2216,оккупи́ровать,to occupy,"(оккупи́рую, оккупи́руешь) нсв и св I"
2217,окно́,window,р.п. мн.ч. о́кон
2218,о́коло,"near, by, around",только с р.п.
2219,оконча́ние,"end, termination",
2220,око́нчить,to finish,св II
2221,о́корок,"ham, leg",
2222,окра́ина,"outskirts, edge",
2223,окро́шка,"okroshka (a cold soup made from kvass, vegetables and meat)",только ед.ч.
2224,о́круг,"district, region",
2225,окружа́ть,"to surround, to encircle",нсв I — окружи́ть св II
2226,октя́брь,October,
2227,окули́ст,ophthalmic optician,
2228,оле́нь,deer,
2229,оли́вковый,"olive, olive-green","(-ая, -ое, -ые)"
2230,олимпиа́да,"Olympics, Olympiad",
2231,олимпи́йский,Olympic,"(-ая, -ое, -ие)"
2232,омле́т,omelette,
2233,он,"he, she, they, it","(она́, оно́, они́)"
2234,опа́здывать,to be late,нсв I — опозда́ть св I
2235,опа́сно,it’s dangerous,
2236,опа́сность,danger,ж.р.
2237,опа́сный,dangerous,"(-ая, -ое, -ые)"
2238,о́пера,opera,
2239,опера́ция,operation,
2240,опере́тта,"musical comedy, operetta",
2241,описа́ние,description,
2162,опи́сывать,to describe,"нсв I — описа́ть (опишу́, опи́шешь) св I"
2163,опла́чивать,to pay,"нсв I — оплати́ть (оплачу́, опла́тишь) св II"
2164,опозда́ние,"lateness, delay",
2165,оппози́ция,opposition,только ед.ч.
2166,оппоне́нт,opponent,
2167,опра́вдывать,"to justify, to excuse, to acquit",нсв I — оправда́ть св I
2168,определе́ние,definition,
2169,определя́ть,"to define, to determine, to fix",нсв I — определи́ть св II
2170,опроверга́ть,"to refute, to disprove",нсв I — опрове́ргнуть св I
2171,опроверже́ние,"disproof, refutation",
2172,оптими́зм,optimism,только ед.ч.
2173,оптими́ст,optimist,
2174,оптимисти́ческий,optimistic,"(-ая, -ое, -ие)"
2175,опуска́ть,"to lower, to let down","нсв I — опусти́ть (опущу́, опу́стишь) св II"
2176,о́пыт,"experience, experiment",
2177,о́пытный,"experimental, experienced","(-ая, -ое, -ые)"
2178,опя́ть,again,
2179,ора́нжевый,orange (colour),"(-ая, -ое, -ые)"
2180,о́рган,"organ
1) organ of vision
2) organs of government","1) о́рган зре́ния
2) о́рганы вла́сти"
2181,организа́тор,organizer,
2182,организа́ция,"organization
1) organization of excursion
2) UNO is an international organization","1) организа́ция экску́рсии
2) ООН — междунаро́дная организа́ция"
2183,органи́зм,organizm,
2184,организова́ть,to organize,"(организу́ю, организу́ешь) св и нсв I"
2185,организо́вывать,to organize,"нсв I — организова́ть (организу́ю, организу́ешь) св I"
2186,о́рден,order,
2188,орёл,eagle,р.п. ед.ч. орла́; мн.ч. орлы́
2187,оре́х,nut,
2189,оригина́л,original,
2190,оригина́льный,original; originally,"(-ая, -ое, -ые); оригина́льно"
2191,ориенти́роваться,to orient oneself,"(ориенти́руюсь, ориенти́руешься) нсв и св I"
2192,орке́стр,"orchestra, band",
2193,ору́жие,weapon,только ед.ч.
2194,освеща́ть,"to illuminate, to throw light, to report
1) to illuminate the street
2) to report/cover in press","нсв I — освети́ть (освещу́, освети́шь) св II 
1) освеща́ть у́лицу
2) освеща́ть собы́тия в пре́ссе"
2195,освеще́ние,"illumination, coverage",только ед.ч.
2196,освобожда́ть,"to free, to liberate, to exempt, to vacate","нсв I — освободи́ть (освобожу́, освободи́шь) св II"
2197,освобожда́ться,to free oneself,"нсв I — освободи́ться (освобожу́сь, освободи́шься) св II"
2122,осёл,donkey,р.п. ед.ч. осла́; мн.ч. ослы́
2198,"осе́нний -яя, -ее, -ие",autumnal,
2199,о́сень,autumn,ж.р.
2200,о́сенью,in autumn,
2201,осетри́на,(flesh) of sturgeon,только ед.ч.
2123,оскорбля́ть,"to insult, to offend","нсв I — оскорби́ть (оскорблю́, оскорби́шь) св II"
2124,осложне́ние,"complication
1) complication after illness
2) complication of situation, of relationships","1) осложне́ние по́сле боле́зни
2) осложне́ние ситуа́ции, отноше́ний"
2125,осно́ва,"foundation, basis",
2126,основа́тель,founder,
2127,основно́й,"fundamental, main","(-а́я, -о́е, -ы́е)"
2128,осно́вывать,to found,"нсв I — основа́ть (осную́, оснуёшь) св I"
2129,осо́бенно,especially,
2130,осо́бенность,feature,ж.р.
2131,осо́бенный,special,"(-ая, -ое, -ые)"
2132,особня́к,"private residence, mansion",
2133,осо́бый,special,"(-ая, -ое, -ые)"
2134,остава́ться,"to remain, to stay","(остаю́сь, остаёшься) нсв I — оста́ться (оста́нусь, оста́нешься) св I"
2135,оставля́ть,"to leave, to abandon","нсв I — оста́вить (оста́влю, оста́вишь) св II"
2136,остально́й,the rest,"(-а́я, -о́е, -ы́е)"
